entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2024-03-06 16:45:00,2024-03-06 17:00:00,long,2144.87,2137.46,2155.98,2163.39,2174.51,0.03,22.23,sl,-23.94,-1.077,False,False,1,10009.9,bullish,3
2024-03-08 15:45:00,2024-03-12 16:00:00,long,2171.18,2153.89,2197.11,2214.4,2240.34,0.01,17.29,sl,-17.86,-1.033,False,False,189,9992.04,bullish,3
2024-03-21 06:00:00,2024-03-21 15:45:00,long,2202.86,2196.57,2212.3,2218.59,2228.02,0.04,25.16,sl,-27.44,-1.091,False,False,39,9964.6,bullish,2
2024-03-25 06:00:00,2024-03-25 08:30:00,long,2170.73,2165.18,2179.06,2184.61,2192.93,0.04,22.2,sl,-24.48,-1.103,False,False,10,9940.12,bullish,2
2024-03-28 10:00:00,2024-03-28 12:15:00,long,2193.03,2189.6,2198.18,2201.61,2206.75,0.07,24.01,tp3,51.26,2.135,True,True,9,9991.38,bullish,2
2024-03-28 14:30:00,2024-03-28 22:45:00,long,2207.46,2196.84,2223.39,2234.01,2249.94,0.02,21.24,sl_after_tp2,41.08,1.934,True,True,33,10032.46,bullish,2
2024-04-01 06:45:00,2024-04-01 10:45:00,long,2264.43,2257.2,2275.27,2282.51,2293.35,0.03,21.69,sl,-23.4,-1.079,False,False,16,10009.06,bullish,3
2024-04-01 13:45:00,2024-04-01 17:00:00,long,2247.78,2239.03,2260.91,2269.66,2282.78,0.03,26.25,sl,-27.96,-1.065,False,False,13,9981.1,bullish,2
2024-04-02 11:15:00,2024-04-02 13:00:00,long,2261.43,2255.3,2270.62,2276.75,2285.95,0.04,24.52,sl,-26.8,-1.093,False,False,7,9954.3,bullish,3
2024-04-03 06:15:00,2024-04-03 10:00:00,long,2284.02,2278.41,2292.44,2298.05,2306.46,0.04,22.44,sl,-24.72,-1.102,False,False,15,9929.58,bullish,2
2024-04-03 10:15:00,2024-04-03 19:15:00,long,2272.72,2265.4,2283.7,2291.02,2302.0,0.03,21.96,sl_after_tp2,42.13,1.919,True,True,36,9971.71,bullish,1
2024-04-08 06:15:00,2024-04-08 15:15:00,long,2343.43,2323.71,2373.01,2392.73,2422.31,0.01,19.72,sl,-20.29,-1.029,False,False,36,9951.42,bullish,2
2024-04-08 15:30:00,2024-04-09 04:30:00,long,2325.61,2316.99,2338.54,2347.16,2360.09,0.03,25.86,sl_after_tp2,49.21,1.903,True,True,48,10000.63,bullish,2
2024-04-09 10:15:00,2024-04-09 18:45:00,long,2352.29,2343.3,2365.77,2374.76,2388.25,0.03,26.97,sl,-28.68,-1.063,False,False,34,9971.95,bullish,3
2024-04-12 06:30:00,2024-04-12 16:30:00,long,2384.54,2377.57,2395.0,2401.96,2412.42,0.04,27.88,sl_after_tp2,53.28,1.911,True,True,40,10025.23,bullish,2
2024-04-16 07:30:00,2024-04-16 09:30:00,long,2384.4,2377.33,2395.0,2402.08,2412.68,0.04,28.28,sl,-30.56,-1.081,False,False,8,9994.67,bullish,2
2024-05-02 14:00:00,2024-05-02 15:45:00,long,2300.94,2295.0,2309.85,2315.79,2324.7,0.04,23.76,sl,-26.04,-1.096,False,False,7,9968.63,bullish,2
2024-05-06 06:00:00,2024-05-06 15:45:00,long,2309.73,2301.83,2321.58,2329.48,2341.33,0.03,23.7,sl_after_tp2,44.39,1.873,True,True,39,10013.02,bullish,2
2024-05-06 16:00:00,2024-05-07 11:00:00,long,2324.75,2314.44,2340.22,2350.52,2365.99,0.02,20.62,sl,-21.76,-1.055,False,False,72,9991.26,bullish,3
2024-05-10 06:45:00,2024-05-10 09:30:00,long,2353.32,2349.58,2358.93,2362.67,2368.28,0.07,26.18,sl_after_tp2,51.85,1.981,True,True,11,10043.11,bullish,2
2024-05-10 10:45:00,2024-05-10 15:15:00,long,2366.61,2359.67,2377.02,2383.96,2394.37,0.04,27.76,sl_after_tp1,19.54,0.704,True,False,18,10062.65,bullish,2
2024-05-13 15:30:00,2024-05-13 16:45:00,long,2345.44,2340.73,2352.5,2357.22,2364.28,0.05,23.55,sl,-26.4,-1.121,False,False,5,10036.25,bullish,3
2024-05-16 08:30:00,2024-05-16 09:00:00,long,2392.82,2389.49,2397.82,2401.15,2406.14,0.08,26.64,sl,-31.2,-1.171,False,False,2,10005.05,bullish,3
2024-05-17 09:00:00,2024-05-17 15:45:00,long,2383.66,2379.81,2389.43,2393.28,2399.06,0.06,23.1,sl_after_tp2,42.23,1.828,True,True,27,10047.28,bullish,3
2024-05-20 14:30:00,2024-05-20 15:15:00,long,2427.87,2420.39,2439.09,2446.57,2457.79,0.03,22.44,sl,-24.15,-1.076,False,False,3,10023.13,bullish,2
2024-05-21 10:45:00,2024-05-21 11:15:00,long,2419.28,2415.41,2425.09,2428.96,2434.76,0.06,23.22,sl,-26.64,-1.147,False,False,2,9996.49,bullish,3
2024-05-21 15:00:00,2024-05-22 06:45:00,long,2424.81,2415.47,2438.82,2448.16,2462.17,0.03,28.02,sl,-29.73,-1.061,False,False,59,9966.76,bullish,3
2024-06-03 16:00:00,2024-06-04 11:00:00,long,2334.78,2325.23,2349.11,2358.66,2372.98,0.03,28.65,sl_after_tp1,20.53,0.717,True,False,72,9987.29,bullish,3
2024-06-04 15:45:00,2024-06-04 16:30:00,long,2335.14,2327.14,2347.14,2355.14,2367.14,0.03,24.0,sl,-25.71,-1.071,False,False,3,9961.58,bullish,2
2024-06-06 11:15:00,2024-06-06 16:00:00,long,2362.43,2355.24,2373.22,2380.4,2391.19,0.03,21.57,sl,-23.28,-1.079,False,False,19,9938.3,bullish,1
2024-06-07 07:30:00,2024-06-07 08:30:00,long,2385.74,2380.05,2394.27,2399.96,2408.5,0.04,22.76,sl,-25.04,-1.1,False,False,4,9913.26,bullish,3
